ID,request_ID,description,quantity,unitPrice,amount,vendor_ID
i1000000-0000-0000-0000-000000000001,r1000000-0000-0000-0000-000000000001,Dell XPS 15 Laptop,3,1200.00,3600.00,v1000000-0000-0000-0000-000000000001
i1000000-0000-0000-0000-000000000002,r1000000-0000-0000-0000-000000000001,USB-C Docking Station,3,300.00,900.00,v1000000-0000-0000-0000-000000000001
i1000000-0000-0000-0000-000000000003,r1000000-0000-0000-0000-000000000002,Monthly Cleaning Service,12,900.00,10800.00,v1000000-0000-0000-0000-000000000002
i1000000-0000-0000-0000-000000000004,r1000000-0000-0000-0000-000000000002,Deep Cleaning Session,2,600.00,1200.00,v1000000-0000-0000-0000-000000000002
i1000000-0000-0000-0000-000000000005,r1000000-0000-0000-0000-000000000003,Instagram Ad Campaign Package,1,15000.00,15000.00,v1000000-0000-0000-0000-000000000003
i1000000-0000-0000-0000-000000000006,r1000000-0000-0000-0000-000000000003,LinkedIn Sponsored Content,2,5000.00,10000.00,v1000000-0000-0000-0000-000000000003
i1000000-0000-0000-0000-000000000007,r1000000-0000-0000-0000-000000000004,Forklift Preventive Maintenance,4,7500.00,30000.00,v1000000-0000-0000-0000-000000000004
i1000000-0000-0000-0000-000000000008,r1000000-0000-0000-0000-000000000004,Replacement Parts Kit,2,4000.00,8000.00,v1000000-0000-0000-0000-000000000004
i1000000-0000-0000-0000-000000000009,r1000000-0000-0000-0000-000000000005,AWS Reserved Instances (1yr),12,5000.00,60000.00,v1000000-0000-0000-0000-000000000001
i1000000-0000-0000-0000-000000000010,r1000000-0000-0000-0000-000000000005,Cloud Migration Consulting,3,4000.00,12000.00,v1000000-0000-0000-0000-000000000001
i1000000-0000-0000-0000-000000000011,r1000000-0000-0000-0000-000000000006,Branded T-Shirts,200,28.00,5600.00,v1000000-0000-0000-0000-000000000005
i1000000-0000-0000-0000-000000000012,r1000000-0000-0000-0000-000000000006,Custom Tote Bags,150,28.00,4200.00,v1000000-0000-0000-0000-000000000005
